geo_fips,geo_name,geo_level,state_fips,state_abbr,state_name
1301052,Albany,city,13,GA,Georgia
1301696,Alpharetta,city,13,GA,Georgia
1303440,Athens,city,13,GA,Georgia
1304000,Atlanta,city,13,GA,Georgia
1304204,Augusta,city,13,GA,Georgia
1310944,Brookhaven,city,13,GA,Georgia
1319000,Columbus,city,13,GA,Georgia
1322052,Decatur,city,13,GA,Georgia
1324768,Dunwoody,city,13,GA,Georgia
1325720,East Point,city,13,GA,Georgia
1342425,Johns Creek,city,13,GA,Georgia
1349008,Macon,city,13,GA,Georgia
1349756,Marietta,city,13,GA,Georgia
1367284,Roswell,city,13,GA,Georgia
1368516,Sandy Springs,city,13,GA,Georgia
1369000,Savannah,city,13,GA,Georgia
1371492,Smyrna,city,13,GA,Georgia
1372122,South Fulton,city,13,GA,Georgia
1373784,Stonecrest,city,13,GA,Georgia
1378800,Valdosta,city,13,GA,Georgia
1380508,Warner Robins,city,13,GA,Georgia
0015003,Honolulu,city,15,HI,Hawaii
1608830,Boise City,city,16,ID,Idaho
1612250,Caldwell,city,16,ID,Idaho
1616750,Coeur d'Alene,city,16,ID,Idaho
1639700,Idaho Falls,city,16,ID,Idaho
1646540,Lewiston,city,16,ID,Idaho
1652120,Meridian,city,16,ID,Idaho
1656260,Nampa,city,16,ID,Idaho
1664090,Pocatello,city,16,ID,Idaho
1667420,Rexburg,city,16,ID,Idaho
1682810,Twin Falls,city,16,ID,Idaho
1702154,Arlington Heights,city,17,IL,Illinois
1703012,Aurora,city,17,IL,Illinois
1705573,Berwyn,city,17,IL,Illinois
1706613,Bloomington,city,17,IL,Illinois
1707133,Bolingbrook,city,17,IL,Illinois
1712385,Champaign,city,17,IL,Illinois
1714000,Chicago,city,17,IL,Illinois
1714351,Cicero,city,17,IL,Illinois
1718823,Decatur,city,17,IL,Illinois
1719642,Des Plaines,city,17,IL,Illinois
1720591,Downers Grove,city,17,IL,Illinois
1723074,Elgin,city,17,IL,Illinois
1724582,Evanston,city,17,IL,Illinois
1735411,Hoffman Estates,city,17,IL,Illinois
1738570,Joliet,city,17,IL,Illinois
1751089,Mount Prospect,city,17,IL,Illinois
1751622,Naperville,city,17,IL,Illinois
1753234,Normal,city,17,IL,Illinois
1754820,Oak Lawn,city,17,IL,Illinois
1754885,Oak Park,city,17,IL,Illinois
1756640,Orland Park,city,17,IL,Illinois
1757225,Palatine,city,17,IL,Illinois
1759000,Peoria,city,17,IL,Illinois
1765000,Rockford,city,17,IL,Illinois
1768003,Schaumburg,city,17,IL,Illinois
1770122,Skokie,city,17,IL,Illinois
1772000,Springfield,city,17,IL,Illinois
1775484,Tinley Park,city,17,IL,Illinois
1779293,Waukegan,city,17,IL,Illinois
1781048,Wheaton,city,17,IL,Illinois
1801468,Anderson,city,18,IN,Indiana
1805860,Bloomington,city,18,IN,Indiana
1810342,Carmel,city,18,IN,Indiana
1814734,Columbus,city,18,IN,Indiana
1820728,Elkhart,city,18,IN,Indiana
1822000,Evansville,city,18,IN,Indiana
1823278,Fishers,city,18,IN,Indiana
1825000,Fort Wayne,city,18,IN,Indiana
1827000,Gary,city,18,IN,Indiana
1829898,Greenwood,city,18,IN,Indiana
1831000,Hammond,city,18,IN,Indiana
1836003,Indianapolis,city,18,IN,Indiana
1840392,Kokomo,city,18,IN,Indiana
1840788,Lafayette,city,18,IN,Indiana
1843434,Liberty,city,18,IN,Indiana
1849932,Mishawaka,city,18,IN,Indiana
1851876,Muncie,city,18,IN,Indiana
1854180,Noblesville,city,18,IN,Indiana
1864260,Richmond,city,18,IN,Indiana
1871000,South Bend,city,18,IN,Indiana
1875428,Terre Haute,city,18,IN,Indiana
1886372,Zionsville,city,18,IN,Indiana
1901855,Ames,city,19,IA,Iowa
1902305,Ankeny,city,19,IA,Iowa
1912000,Cedar Rapids,city,19,IA,Iowa
1916860,Council Bluffs,city,19,IA,Iowa
1919000,Davenport,city,19,IA,Iowa
1921000,Des Moines,city,19,IA,Iowa
1922395,Dubuque,city,19,IA,Iowa
1938595,Iowa City,city,19,IA,Iowa
1950160,Mason City,city,19,IA,Iowa
1973335,Sioux City,city,19,IA,Iowa
1982425,Waterloo,city,19,IA,Iowa
1983910,West Des Moines,city,19,IA,Iowa
2036000,Kansas City,city,20,KS,Kansas
2038900,Lawrence,city,20,KS,Kansas
2039350,Lenexa,city,20,KS,Kansas
2044250,Manhattan,city,20,KS,Kansas
2052575,Olathe,city,20,KS,Kansas
2053775,Overland Park,city,20,KS,Kansas
2064500,Shawnee,city,20,KS,Kansas
2071000,Topeka,city,20,KS,Kansas
2079000,Wichita,city,20,KS,Kansas
2108902,Bowling Green,city,21,KY,Kentucky
2146027,Lexington,city,21,KY,Kentucky
2148006,Louisville,city,21,KY,Kentucky
2158620,Owensboro,city,21,KY,Kentucky
2205000,Baton Rouge,city,22,LA,Louisiana
2208920,Bossier City,city,22,LA,Louisiana
2239475,Kenner,city,22,LA,Louisiana
2240735,Lafayette,city,22,LA,Louisiana
2241155,Lake Charles,city,22,LA,Louisiana
2255000,New Orleans,city,22,LA,Louisiana
2270000,Shreveport,city,22,LA,Louisiana
2323200,Ellsworth,city,23,ME,Maine
2360545,Portland,city,23,ME,Maine
2404000,Baltimore,city,24,MD,Maryland
2408775,Bowie,city,24,MD,Maryland
2430325,Frederick,city,24,MD,Maryland
2431175,Gaithersburg,city,24,MD,Maryland
2467675,Rockville,city,24,MD,Maryland
2507000,Boston,city,25,MA,Massachusetts
2509000,Brockton,city,25,MA,Massachusetts
2511000,Cambridge,city,25,MA,Massachusetts
2513660,Chicopee,city,25,MA,Massachusetts
2523000,Fall River,city,25,MA,Massachusetts
2524960,Framingham,city,25,MA,Massachusetts
2529405,Haverhill,city,25,MA,Massachusetts
2534550,Lawrence,city,25,MA,Massachusetts
2537000,Lowell,city,25,MA,Massachusetts
2537490,Lynn,city,25,MA,Massachusetts
2537875,Malden,city,25,MA,Massachusetts
2539835,Medford,city,25,MA,Massachusetts
2540710,Methuen Town,city,25,MA,Massachusetts
2545000,New Bedford,city,25,MA,Massachusetts
2545245,Newburyport,city,25,MA,Massachusetts
2545560,Newton,city,25,MA,Massachusetts
2552490,Peabody,city,25,MA,Massachusetts
2555745,Quincy,city,25,MA,Massachusetts
2556585,Revere,city,25,MA,Massachusetts
2562535,Somerville,city,25,MA,Massachusetts
2567000,Springfield,city,25,MA,Massachusetts
2569170,Taunton,city,25,MA,Massachusetts
2572600,Waltham,city,25,MA,Massachusetts
2578972,Weymouth Town,city,25,MA,Massachusetts
2582000,Worcester,city,25,MA,Massachusetts
2600980,Albion,city,26,MI,Michigan
2603000,Ann Arbor,city,26,MI,Michigan
2605920,Battle Creek,city,26,MI,Michigan
2621000,Dearborn,city,26,MI,Michigan
2621020,Dearborn Heights,city,26,MI,Michigan
2622000,Detroit,city,26,MI,Michigan
2627440,Farmington Hills,city,26,MI,Michigan
2629000,Flint,city,26,MI,Michigan
2634000,Grand Rapids,city,26,MI,Michigan
2642160,Kalamazoo,city,26,MI,Michigan
2642820,Kentwood,city,26,MI,Michigan
2646000,Lansing,city,26,MI,Michigan
2649000,Livonia,city,26,MI,Michigan
2659440,Novi,city,26,MI,Michigan
2662980,Paw Paw,city,26,MI,Michigan
2665440,Pontiac,city,26,MI,Michigan
2669035,Rochester Hills,city,26,MI,Michigan
2670040,Royal Oak,city,26,MI,Michigan
2670760,St. Clair Shores,city,26,MI,Michigan
2674900,Southfield,city,26,MI,Michigan
2674980,South Haven,city,26,MI,Michigan
2676460,Sterling Heights,city,26,MI,Michigan
2679000,Taylor,city,26,MI,Michigan
2680700,Troy,city,26,MI,Michigan
2684000,Warren,city,26,MI,Michigan
2686000,Westland,city,26,MI,Michigan
2688940,Wyoming,city,26,MI,Michigan
2701900,Apple Valley,city,27,MN,Minnesota
2706382,Blaine,city,27,MN,Minnesota
2706616,Bloomington,city,27,MN,Minnesota
2707966,Brooklyn Park,city,27,MN,Minnesota
2708794,Burnsville,city,27,MN,Minnesota
2713114,Coon Rapids,city,27,MN,Minnesota
2717000,Duluth,city,27,MN,Minnesota
2717288,Eagan,city,27,MN,Minnesota
2718116,Eden Prairie,city,27,MN,Minnesota
2718188,Edina,city,27,MN,Minnesota
2735180,Lakeville,city,27,MN,Minnesota
2740166,Maple Grove,city,27,MN,Minnesota
2743000,Minneapolis,city,27,MN,Minnesota
2743252,Minnetonka,city,27,MN,Minnesota
2751730,Plymouth,city,27,MN,Minnesota
2754880,Rochester,city,27,MN,Minnesota
2756896,St. Cloud,city,27,MN,Minnesota
2757220,St. Louis Park,city,27,MN,Minnesota
2758000,St. Paul,city,27,MN,Minnesota
2771428,Woodbury,city,27,MN,Minnesota
2829700,Gulfport,city,28,MS,Mississippi
2836000,Jackson,city,28,MS,Mississippi
2869280,Southaven,city,28,MS,Mississippi
2906652,Blue Springs,city,29,MO,Missouri
2915670,Columbia,city,29,MO,Missouri
2924778,Florissant,city,29,MO,Missouri
2935000,Independence,city,29,MO,Missouri
2937592,Joplin,city,29,MO,Missouri
2938000,Kansas City,city,29,MO,Missouri
2941348,Lee's Summit,city,29,MO,Missouri
2954074,O'Fallon,city,29,MO,Missouri
2964082,St. Charles,city,29,MO,Missouri
2964550,St. Joseph,city,29,MO,Missouri
2965000,St. Louis,city,29,MO,Missouri
2965126,St. Peters,city,29,MO,Missouri
2970000,Springfield,city,29,MO,Missouri
3006550,Billings,city,30,MT,Montana
3008950,Bozeman,city,30,MT,Montana
3032800,Great Falls,city,30,MT,Montana
3050200,Missoula,city,30,MT,Montana
3103950,Bellevue,city,31,NE,Nebraska
3119595,Grand Island,city,31,NE,Nebraska
3125055,Kearney,city,31,NE,Nebraska
3128000,Lincoln,city,31,NE,Nebraska
3137000,Omaha,city,31,NE,Nebraska
3209700,Carson City,city,32,NV,Nevada
3231900,Henderson,city,32,NV,Nevada
3240000,Las Vegas,city,32,NV,Nevada
3251800,North Las Vegas,city,32,NV,Nevada
3260600,Reno,city,32,NV,Nevada
3268400,Sparks,city,32,NV,Nevada
3345140,Manchester,city,33,NH,New Hampshire
3350260,Nashua,city,33,NH,New Hampshire
3401960,Asbury Park,city,34,NJ,New Jersey
3402080,Atlantic City,city,34,NJ,New Jersey
3403580,Bayonne,city,34,NJ,New Jersey
3406790,Bound Brook,city,34,NJ,New Jersey
3408920,Burlington,city,34,NJ,New Jersey
3410000,Camden,city,34,NJ,New Jersey
3412100,Chatham,city,34,NJ,New Jersey
3413360,Clayton,city,34,NJ,New Jersey
3413690,Clifton,city,34,NJ,New Jersey
3419390,East Orange,city,34,NJ,New Jersey
3420350,Egg Harbor City,city,34,NJ,New Jersey
3421000,Elizabeth,city,34,NJ,New Jersey
3421480,Englewood,city,34,NJ,New Jersey
3422470,Fair Lawn,city,34,NJ,New Jersey
3422860,Fanwood,city,34,NJ,New Jersey
3424990,Franklin Lakes,city,34,NJ,New Jersey
3425200,Freehold,city,34,NJ,New Jersey
3425800,Garwood,city,34,NJ,New Jersey
3426340,Glassboro,city,34,NJ,New Jersey
3428680,Hackensack,city,34,NJ,New Jersey
3429430,Hammonton,city,34,NJ,New Jersey
3431500,Highlands,city,34,NJ,New Jersey
3432250,Hoboken,city,34,NJ,New Jersey
3436000,Jersey City,city,34,NJ,New Jersey
3439420,Lawnside,city,34,NJ,New Jersey
3440350,Linden,city,34,NJ,New Jersey
3441310,Long Branch,city,34,NJ,New Jersey
3446680,Millville,city,34,NJ,New Jersey
3448510,Mountainside,city,34,NJ,New Jersey
3451000,Newark,city,34,NJ,New Jersey
3451210,New Brunswick,city,34,NJ,New Jersey
3451810,New Providence,city,34,NJ,New Jersey
3455950,Paramus,city,34,NJ,New Jersey
3456550,Passaic,city,34,NJ,New Jersey
3457000,Paterson,city,34,NJ,New Jersey
3457750,Penns Grove,city,34,NJ,New Jersey
3458200,Perth Amboy,city,34,NJ,New Jersey
3459190,Plainfield,city,34,NJ,New Jersey
