"geo_fips" "geo_name" "geo_level" "state_fips" "state_abbr" "state_name"
"152" "0655184" "Palm Desert" "city" "06" "CA" "California"
"153" "0655282" "Palo Alto" "city" "06" "CA" "California"
"154" "0655618" "Paramount" "city" "06" "CA" "California"
"155" "0656000" "Pasadena" "city" "06" "CA" "California"
"156" "0656700" "Perris" "city" "06" "CA" "California"
"157" "0656784" "Petaluma" "city" "06" "CA" "California"
"158" "0656924" "Pico Rivera" "city" "06" "CA" "California"
"159" "0657456" "Pittsburg" "city" "06" "CA" "California"
"160" "0657526" "Placentia" "city" "06" "CA" "California"
"161" "0657792" "Pleasanton" "city" "06" "CA" "California"
"162" "0658072" "Pomona" "city" "06" "CA" "California"
"163" "0658240" "Porterville" "city" "06" "CA" "California"
"164" "0659444" "Rancho Cordova" "city" "06" "CA" "California"
"165" "0659451" "Rancho Cucamonga" "city" "06" "CA" "California"
"166" "0659920" "Redding" "city" "06" "CA" "California"
"167" "0659962" "Redlands" "city" "06" "CA" "California"
"168" "0660018" "Redondo Beach" "city" "06" "CA" "California"
"169" "0660102" "Redwood City" "city" "06" "CA" "California"
"170" "0660466" "Rialto" "city" "06" "CA" "California"
"171" "0660620" "Richmond" "city" "06" "CA" "California"
"172" "0662000" "Riverside" "city" "06" "CA" "California"
"173" "0662364" "Rocklin" "city" "06" "CA" "California"
"174" "0662896" "Rosemead" "city" "06" "CA" "California"
"175" "0662938" "Roseville" "city" "06" "CA" "California"
"176" "0664000" "Sacramento" "city" "06" "CA" "California"
"177" "0664224" "Salinas" "city" "06" "CA" "California"
"178" "0665000" "San Bernardino" "city" "06" "CA" "California"
"179" "0665042" "San Buenaventura (Ventura)" "city" "06" "CA" "California"
"180" "0665084" "San Clemente" "city" "06" "CA" "California"
"181" "0666000" "San Diego" "city" "06" "CA" "California"
"182" "0667000" "San Francisco" "city" "06" "CA" "California"
"183" "0667112" "San Jacinto" "city" "06" "CA" "California"
"184" "0668000" "San Jose" "city" "06" "CA" "California"
"185" "0668084" "San Leandro" "city" "06" "CA" "California"
"186" "0668196" "San Marcos" "city" "06" "CA" "California"
"187" "0668252" "San Mateo" "city" "06" "CA" "California"
"188" "0668364" "San Rafael" "city" "06" "CA" "California"
"189" "0668378" "San Ramon" "city" "06" "CA" "California"
"190" "0669000" "Santa Ana" "city" "06" "CA" "California"
"191" "0669070" "Santa Barbara" "city" "06" "CA" "California"
"192" "0669084" "Santa Clara" "city" "06" "CA" "California"
"193" "0669088" "Santa Clarita" "city" "06" "CA" "California"
"194" "0669112" "Santa Cruz" "city" "06" "CA" "California"
"195" "0669196" "Santa Maria" "city" "06" "CA" "California"
"196" "0670000" "Santa Monica" "city" "06" "CA" "California"
"197" "0670098" "Santa Rosa" "city" "06" "CA" "California"
"198" "0670224" "Santee" "city" "06" "CA" "California"
"199" "0672016" "Simi Valley" "city" "06" "CA" "California"
"200" "0673080" "South Gate" "city" "06" "CA" "California"
"201" "0673262" "South San Francisco" "city" "06" "CA" "California"
"202" "0675000" "Stockton" "city" "06" "CA" "California"
"203" "0677000" "Sunnyvale" "city" "06" "CA" "California"
"204" "0678120" "Temecula" "city" "06" "CA" "California"
"205" "0678582" "Thousand Oaks" "city" "06" "CA" "California"
"206" "0680000" "Torrance" "city" "06" "CA" "California"
"207" "0680238" "Tracy" "city" "06" "CA" "California"
"208" "0680644" "Tulare" "city" "06" "CA" "California"
"209" "0680812" "Turlock" "city" "06" "CA" "California"
"210" "0680854" "Tustin" "city" "06" "CA" "California"
"211" "0681204" "Union City" "city" "06" "CA" "California"
"212" "0681344" "Upland" "city" "06" "CA" "California"
"213" "0681554" "Vacaville" "city" "06" "CA" "California"
"214" "0681666" "Vallejo" "city" "06" "CA" "California"
"215" "0682590" "Victorville" "city" "06" "CA" "California"
"216" "0682954" "Visalia" "city" "06" "CA" "California"
"217" "0682996" "Vista" "city" "06" "CA" "California"
"218" "0683346" "Walnut Creek" "city" "06" "CA" "California"
"219" "0683668" "Watsonville" "city" "06" "CA" "California"
"220" "0684200" "West Covina" "city" "06" "CA" "California"
"221" "0684550" "Westminster" "city" "06" "CA" "California"
"222" "0684816" "West Sacramento" "city" "06" "CA" "California"
"223" "0685292" "Whittier" "city" "06" "CA" "California"
"224" "0686328" "Woodland" "city" "06" "CA" "California"
"225" "0686832" "Yorba Linda" "city" "06" "CA" "California"
"226" "0686972" "Yuba City" "city" "06" "CA" "California"
"227" "0687042" "Yucaipa" "city" "06" "CA" "California"
"228" "0803455" "Arvada" "city" "08" "CO" "Colorado"
"229" "0804000" "Aurora" "city" "08" "CO" "Colorado"
"230" "0807850" "Boulder" "city" "08" "CO" "Colorado"
"231" "0809280" "Broomfield" "city" "08" "CO" "Colorado"
"232" "0812415" "Castle Rock" "city" "08" "CO" "Colorado"
"233" "0812815" "Centennial" "city" "08" "CO" "Colorado"
"234" "0816000" "Colorado Springs" "city" "08" "CO" "Colorado"
"235" "0816495" "Commerce City" "city" "08" "CO" "Colorado"
"236" "0820000" "Denver" "city" "08" "CO" "Colorado"
"237" "0827425" "Fort Collins" "city" "08" "CO" "Colorado"
"238" "0831660" "Grand Junction" "city" "08" "CO" "Colorado"
"239" "0832155" "Greeley" "city" "08" "CO" "Colorado"
"240" "0843000" "Lakewood" "city" "08" "CO" "Colorado"
"241" "0845970" "Longmont" "city" "08" "CO" "Colorado"
"242" "0846465" "Loveland" "city" "08" "CO" "Colorado"
"243" "0857630" "Parker" "city" "08" "CO" "Colorado"
"244" "0862000" "Pueblo" "city" "08" "CO" "Colorado"
"245" "0877290" "Thornton" "city" "08" "CO" "Colorado"
"246" "0883835" "Westminster" "city" "08" "CO" "Colorado"
"247" "0908000" "Bridgeport" "city" "09" "CT" "Connecticut"
"248" "0908420" "Bristol" "city" "09" "CT" "Connecticut"
"249" "0918430" "Danbury" "city" "09" "CT" "Connecticut"
"250" "0937000" "Hartford" "city" "09" "CT" "Connecticut"
"251" "0946450" "Meriden" "city" "09" "CT" "Connecticut"
"252" "0947515" "Milford" "city" "09" "CT" "Connecticut"
"253" "0950370" "New Britain" "city" "09" "CT" "Connecticut"
"254" "0952000" "New Haven" "city" "09" "CT" "Connecticut"
"255" "0955990" "Norwalk" "city" "09" "CT" "Connecticut"
"256" "0973000" "Stamford" "city" "09" "CT" "Connecticut"
"257" "0976500" "Torrington" "city" "09" "CT" "Connecticut"
"258" "0980000" "Waterbury" "city" "09" "CT" "Connecticut"
"259" "0982800" "West Haven" "city" "09" "CT" "Connecticut"
"260" "1077580" "Wilmington" "city" "10" "DE" "Delaware"
"261" "1150000" "Washington" "city" "11" "DC" "District of Columbia"
"262" "1201700" "Apopka" "city" "12" "FL" "Florida"
"263" "1207300" "Boca Raton" "city" "12" "FL" "Florida"
"264" "1207525" "Bonita Springs" "city" "12" "FL" "Florida"
"265" "1207875" "Boynton Beach" "city" "12" "FL" "Florida"
"266" "1207950" "Bradenton" "city" "12" "FL" "Florida"
"267" "1210275" "Cape Coral" "city" "12" "FL" "Florida"
"268" "1212875" "Clearwater" "city" "12" "FL" "Florida"
"269" "1213275" "Coconut Creek" "city" "12" "FL" "Florida"
"270" "1214250" "Coral Gables" "city" "12" "FL" "Florida"
"271" "1214400" "Coral Springs" "city" "12" "FL" "Florida"
"272" "1216475" "Davie" "city" "12" "FL" "Florida"
"273" "1216525" "Daytona Beach" "city" "12" "FL" "Florida"
"274" "1216725" "Deerfield Beach" "city" "12" "FL" "Florida"
"275" "1216875" "DeLand" "city" "12" "FL" "Florida"
"276" "1217100" "Delray Beach" "city" "12" "FL" "Florida"
"277" "1217200" "Deltona" "city" "12" "FL" "Florida"
"278" "1217935" "Doral" "city" "12" "FL" "Florida"
"279" "1224000" "Fort Lauderdale" "city" "12" "FL" "Florida"
"280" "1224125" "Fort Myers" "city" "12" "FL" "Florida"
"281" "1225175" "Gainesville" "city" "12" "FL" "Florida"
